sim,risk_difference,b,c,p_value,significant
511,0.10000000000000003,80,48,0.005925206606743149,True
512,0.10000000000000003,87,55,0.009043246714205942,True
513,0.10000000000000003,82,50,0.00674635885953615,True
514,0.10000000000000003,88,56,0.009543281732431077,True
515,0.10000000000000003,85,53,0.008083354723191848,True
516,0.10000000000000003,89,57,0.010056475566925294,True
517,0.10000000000000003,84,52,0.007623827173866254,True
518,0.10000000000000003,85,53,0.008083354723191848,True
519,0.10000000000000003,82,50,0.00674635885953615,True
520,0.10000000000000003,87,55,0.009043246714205942,True
521,0.10000000000000003,86,54,0.008556547961075816,True
522,0.10000000000000003,79,47,0.005536025163897779,True
523,0.10000000000000003,86,54,0.008556547961075816,True
524,0.10000000000000003,88,56,0.009543281732431077,True
525,0.10000000000000003,82,50,0.00674635885953615,True
526,0.10000000000000003,90,58,0.010582643402853352,True
527,0.10000000000000003,85,53,0.008083354723191848,True
528,0.10000000000000003,87,55,0.009043246714205942,True
529,0.10000000000000003,86,54,0.008556547961075816,True
530,0.10000000000000003,77,45,0.004800874060088957,True
531,0.10000000000000003,84,52,0.007623827173866254,True
532,0.10000000000000003,82,50,0.00674635885953615,True
533,0.10000000000000003,88,56,0.009543281732431077,True
534,0.10000000000000003,85,53,0.008083354723191848,True
535,0.10000000000000003,91,59,0.011121593847224862,True
536,0.10000000000000003,80,48,0.005925206606743149,True
537,0.10000000000000003,82,50,0.00674635885953615,True
538,0.10000000000000003,91,59,0.011121593847224862,True
539,0.10000000000000003,86,54,0.008556547961075816,True
540,0.10000000000000003,84,52,0.007623827173866254,True
541,0.10000000000000003,87,55,0.009043246714205942,True
542,0.10000000000000003,93,61,0.012237048519511287,True
543,0.10000000000000003,88,56,0.009543281732431077,True
544,0.10000000000000003,88,56,0.009543281732431077,True
545,0.10000000000000003,88,56,0.009543281732431077,True
546,0.10000000000000003,85,53,0.008083354723191848,True
547,0.10000000000000003,87,55,0.009043246714205942,True
548,0.10000000000000003,87,55,0.009043246714205942,True
549,0.10000000000000003,86,54,0.008556547961075816,True
550,0.10000000000000003,88,56,0.009543281732431077,True
551,0.10000000000000003,84,52,0.007623827173866254,True
552,0.10000000000000003,89,57,0.010056475566925294,True
553,0.10000000000000003,89,57,0.010056475566925294,True
554,0.10000000000000003,81,49,0.00632868451075427,True
555,0.10000000000000003,84,52,0.007623827173866254,True
556,0.10000000000000003,81,49,0.00632868451075427,True
557,0.10000000000000003,82,50,0.00674635885953615,True
558,0.10000000000000003,77,45,0.004800874060088957,True
559,0.10000000000000003,85,53,0.008083354723191848,True
560,0.10000000000000003,91,59,0.011121593847224862,True
561,0.10000000000000003,82,50,0.00674635885953615,True
562,0.10000000000000003,90,58,0.010582643402853352,True
563,0.10000000000000003,89,57,0.010056475566925294,True
564,0.10000000000000003,83,51,0.007178115485500778,True
565,0.10000000000000003,87,55,0.009043246714205942,True
566,0.10000000000000003,79,47,0.005536025163897779,True
567,0.10000000000000003,90,58,0.010582643402853352,True
568,0.10000000000000003,86,54,0.008556547961075816,True
569,0.10000000000000003,96,64,0.014001016159629528,True
570,0.10000000000000003,85,53,0.008083354723191848,True
571,0.10000000000000003,85,53,0.008083354723191848,True
572,0.10000000000000003,95,63,0.013401204087274656,True
573,0.10000000000000003,81,49,0.00632868451075427,True
574,0.10000000000000003,82,50,0.00674635885953615,True
575,0.10000000000000003,86,54,0.008556547961075816,True
576,0.10000000000000003,80,48,0.005925206606743149,True
577,0.10000000000000003,92,60,0.011673129672852299,True
578,0.10000000000000003,93,61,0.012237048519511287,True
579,0.10000000000000003,83,51,0.007178115485500778,True
580,0.10000000000000003,82,50,0.00674635885953615,True
581,0.10000000000000003,69,37,0.0024400083793490387,True
582,0.10000000000000003,87,55,0.009043246714205942,True
583,0.10000000000000003,82,50,0.00674635885953615,True
584,0.10000000000000003,87,55,0.009043246714205942,True
585,0.10000000000000003,86,54,0.008556547961075816,True
586,0.10000000000000003,87,55,0.009043246714205942,True
587,0.10000000000000003,90,58,0.010582643402853352,True
588,0.10000000000000003,90,58,0.010582643402853352,True
589,0.10000000000000003,85,53,0.008083354723191848,True
590,0.10000000000000003,89,57,0.010056475566925294,True
591,0.10000000000000003,90,58,0.010582643402853352,True
592,0.10000000000000003,87,55,0.009043246714205942,True
593,0.10000000000000003,82,50,0.00674635885953615,True
594,0.10000000000000003,82,50,0.00674635885953615,True
595,0.10000000000000003,78,46,0.005161224901988027,True
596,0.10000000000000003,85,53,0.008083354723191848,True
597,0.10000000000000003,85,53,0.008083354723191848,True
598,0.10000000000000003,92,60,0.011673129672852299,True
599,0.10000000000000003,83,51,0.007178115485500778,True
600,0.10000000000000003,89,57,0.010056475566925294,True
601,0.10000000000000003,88,56,0.009543281732431077,True
602,0.10000000000000003,90,58,0.010582643402853352,True
603,0.10000000000000003,90,58,0.010582643402853352,True
604,0.10000000000000003,86,54,0.008556547961075816,True
605,0.10000000000000003,80,48,0.005925206606743149,True
606,0.10000000000000003,93,61,0.012237048519511287,True
607,0.10000000000000003,83,51,0.007178115485500778,True
608,0.10000000000000003,89,57,0.010056475566925294,True
609,0.10000000000000003,86,54,0.008556547961075816,True
610,0.10000000000000003,83,51,0.007178115485500778,True
611,0.10000000000000003,86,54,0.008556547961075816,True
612,0.10000000000000003,93,61,0.012237048519511287,True
613,0.10000000000000003,83,51,0.007178115485500778,True
614,0.10000000000000003,92,60,0.011673129672852299,True
615,0.10000000000000003,87,55,0.009043246714205942,True
616,0.10000000000000003,83,51,0.007178115485500778,True
617,0.10000000000000003,78,46,0.005161224901988027,True
618,0.10000000000000003,85,53,0.008083354723191848,True
619,0.10000000000000003,83,51,0.007178115485500778,True
620,0.10000000000000003,81,49,0.00632868451075427,True
621,0.10000000000000003,81,49,0.00632868451075427,True
622,0.10000000000000003,88,56,0.009543281732431077,True
623,0.10000000000000003,86,54,0.008556547961075816,True
624,0.10000000000000003,90,58,0.010582643402853352,True
625,0.10000000000000003,87,55,0.009043246714205942,True
626,0.10000000000000003,92,60,0.011673129672852299,True
627,0.10000000000000003,85,53,0.008083354723191848,True
628,0.10000000000000003,88,56,0.009543281732431077,True
629,0.10000000000000003,90,58,0.010582643402853352,True
630,0.10000000000000003,82,50,0.00674635885953615,True
631,0.10000000000000003,82,50,0.00674635885953615,True
632,0.10000000000000003,79,47,0.005536025163897779,True
633,0.10000000000000003,88,56,0.009543281732431077,True
634,0.10000000000000003,75,43,0.004123703844699421,True
635,0.10000000000000003,80,48,0.005925206606743149,True
636,0.10000000000000003,86,54,0.008556547961075816,True
637,0.10000000000000003,84,52,0.007623827173866254,True
638,0.10000000000000003,81,49,0.00632868451075427,True
639,0.10000000000000003,90,58,0.010582643402853352,True
640,0.10000000000000003,90,58,0.010582643402853352,True
641,0.10000000000000003,81,49,0.00632868451075427,True
642,0.10000000000000003,87,55,0.009043246714205942,True
643,0.10000000000000003,92,60,0.011673129672852299,True
644,0.10000000000000003,84,52,0.007623827173866254,True
645,0.10000000000000003,90,58,0.010582643402853352,True
646,0.10000000000000003,83,51,0.007178115485500778,True
647,0.10000000000000003,77,45,0.004800874060088957,True
648,0.10000000000000003,84,52,0.007623827173866254,True
649,0.10000000000000003,93,61,0.012237048519511287,True
650,0.10000000000000003,81,49,0.00632868451075427,True
651,0.10000000000000003,78,46,0.005161224901988027,True
652,0.10000000000000003,82,50,0.00674635885953615,True
653,0.10000000000000003,89,57,0.010056475566925294,True
654,0.10000000000000003,85,53,0.008083354723191848,True
655,0.10000000000000003,85,53,0.008083354723191848,True
656,0.10000000000000003,88,56,0.009543281732431077,True
657,0.10000000000000003,80,48,0.005925206606743149,True
658,0.10000000000000003,78,46,0.005161224901988027,True
659,0.10000000000000003,91,59,0.011121593847224862,True
660,0.10000000000000003,87,55,0.009043246714205942,True
661,0.10000000000000003,84,52,0.007623827173866254,True
662,0.10000000000000003,92,60,0.011673129672852299,True
663,0.10000000000000003,84,52,0.007623827173866254,True
664,0.10000000000000003,91,59,0.011121593847224862,True
665,0.10000000000000003,93,61,0.012237048519511287,True
666,0.10000000000000003,86,54,0.008556547961075816,True
667,0.10000000000000003,83,51,0.007178115485500778,True
668,0.10000000000000003,86,54,0.008556547961075816,True
669,0.10000000000000003,90,58,0.010582643402853352,True
670,0.10000000000000003,91,59,0.011121593847224862,True
671,0.10000000000000003,88,56,0.009543281732431077,True
672,0.10000000000000003,90,58,0.010582643402853352,True
673,0.10000000000000003,78,46,0.005161224901988027,True
674,0.10000000000000003,82,50,0.00674635885953615,True
675,0.10000000000000003,81,49,0.00632868451075427,True
676,0.10000000000000003,86,54,0.008556547961075816,True
677,0.10000000000000003,86,54,0.008556547961075816,True
678,0.10000000000000003,89,57,0.010056475566925294,True
679,0.10000000000000003,81,49,0.00632868451075427,True
680,0.10000000000000003,90,58,0.010582643402853352,True
681,0.10000000000000003,84,52,0.007623827173866254,True
682,0.10000000000000003,90,58,0.010582643402853352,True
683,0.10000000000000003,82,50,0.00674635885953615,True
684,0.10000000000000003,85,53,0.008083354723191848,True
685,0.10000000000000003,81,49,0.00632868451075427,True
686,0.10000000000000003,84,52,0.007623827173866254,True
